"area_name","sub_group_name","Maximum Cases"
"Uttar Pradesh","05. For Marriage","1647"
"Rajasthan","05. For Marriage","1563"
"Delhi","13. Other Purposes","1124"
"Bihar","13. Other Purposes","848"
"Assam","05. For Marriage","751"
"Gujarat","05. For Marriage","652"
"Andhra Pradesh","13. Other Purposes","495"
"Maharashtra","05. For Marriage","481"
"Tamil Nadu","13. Other Purposes","469"
"West Bengal","13. Other Purposes","419"
"Madhya Pradesh","05. For Marriage","379"
"Karnataka","13. Other Purposes","332"
"Jammu & Kashmir","05. For Marriage","256"
"Odisha","05. For Marriage","252"
"Punjab","13. Other Purposes","223"
"Jharkhand","05. For Marriage","209"
"Haryana","05. For Marriage","174"
"Chhattisgarh","05. For Marriage","148"
"Kerala","13. Other Purposes","107"
"Uttarakhand","05. For Marriage","90"
"Himachal Pradesh","05. For Marriage","89"
"Tripura","07. For Ransom","80"
"Manipur","05. For Marriage","62"
"Meghalaya","07. For Ransom","47"
"Chandigarh","05. For Marriage","43"
"Arunachal Pradesh","05. For Marriage","41"
"Nagaland","13. Other Purposes","11"
"Sikkim","01. For Adoption","6"
"Puducherry","13. Other Purposes","5"
"Goa","05. For Marriage","4"
"Daman & Diu","13. Other Purposes","2"
"Dadra & Nagar Haveli","05. For Marriage","2"
"Andaman & Nicobar Islands","05. For Marriage","2"
"Mizoram","05. For Marriage","1"
"Lakshadweep","07. For Ransom","1"
