"Area_Name","ATM Dacoity","Bank Dacioty","Highway Dacoity","Railways Dacoity","Residence Dacoity","Religious Place Dacoity","River And Sea Dacoity","Commercial Establishment Dacoity","Other Places Dacoity"
"ANDHRA_PRADESH","0","1274","58818","4742","101842","456","186","14308","91484"
"ARUNACHAL_PRADESH","0","1046","31154","2196","63310","0","72","12598","68380"
"ASSAM","2280","1578","56880","3488","222340","0","794","32472","123784"
"A_&_N_ISLANDS","0","1008","29520","2196","57420","0","72","10584","63174"
"BIHAR","456","10508","200140","27048","387792","0","224","31218","173108"
"CHANDIGARH","0","1046","29520","2196","57534","0","72","11420","65530"
"CHHATTISGARH","0","1844","36436","4932","93900","0","224","13814","94486"
"DAMAN_&_DIU","0","1092","31980","2379","62357","0","116","11998","68467"
"GOA","0","1008","30698","2234","59700","0","72","11268","66442"
"GUJARAT","0","1578","73296","5806","158728","912","376","36614","167066"
"HARYANA","0","2034","75614","3602","75090","0","110","22250","115386"
"HIMACHAL_PRADESH","0","1122","30660","2196","57648","0","72","10812","64428"
"JAMMU_&_KASHMIR","0","1502","29634","2196","62132","0","72","10812","66936"
"JHARKHAND","0","4238","138162","15344","212346","0","72","18602","110332"
"KARNATAKA","456","1768","73030","6946","113584","0","148","21642","177060"
"KERALA","0","1274","45100","2310","76800","0","224","18146","103758"
"LAKSHADWEEP","0","1008","29520","2196","57496","0","72","10584","62642"
"MADHYA_PRADESH","0","1882","50382","4932","95116","456","186","15334","105886"
"MAHARASHTRA","0","2908","146142","11506","201516","0","528","55918","459096"
"MANIPUR","0","1008","30508","2196","57610","0","72","10584","63250"
"MEGHALAYA","0","1084","51446","2196","69884","0","72","17842","76740"
"MIZORAM","0","1008","30470","2196","58256","0","338","10660","65834"
"NAGALAND","0","1046","31952","2234","61790","0","72","10926","63782"
"ODISHA","0","4770","96210","4324","149494","1368","72","37412","218936"
"PUDUCHERRY","0","1008","30432","2196","58256","0","72","10812","63440"
"PUNJAB","0","1654","33092","2310","65134","0","72","13358","79856"
"RAJASTHAN","0","1084","40160","3260","65590","0","72","16930","86886"
"SIKKIM","0","1008","29558","2196","57534","0","72","10584","63136"
"TAMIL_NADU","456","1236","48216","2728","93672","0","148","17272","92738"
"TOTAL_(STATES)","3648","35968","883874","91078","1557508","3648","3226","253024","1529898"
"TOTAL_(UTs)","0","1160","49812","2994","71138","0","110","17234","83124"
"TRIPURA","0","1304","27288","2051","57917","0","66","9892","59173"
"UTTARAKHAND","0","1768","31534","2196","70568","0","72","11458","68038"
"UTTAR_PRADESH","0","6252","96438","15496","183428","456","148","19628","158364"
"WEST_BENGAL","0","4314","50420","7326","116624","0","528","24644","123328"
